순,이름,연도,WAR*,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC+,WAR*,WPA
273,한화,19,15.02,1738,5482,4882,607,1249,223,16,88,1768,562,105,51,441,70,12,1090,112,44,45,.256,.324,.362,.686,.317,92.0,15.02,
219,KIA,20,18.50,1807,5637,4933,724,1353,224,13,130,1993,692,47,25,534,69,10,957,113,63,38,.274,.351,.404,.755,.343,98.0,18.50,
83,KT,20,26.74,2002,5762,5047,813,1432,238,21,163,2201,767,106,50,554,52,20,1097,104,64,45,.284,.358,.436,.794,.356,106.7,26.74,
67,LG,20,27.33,1985,5681,4999,802,1384,253,29,149,2142,760,83,39,509,75,21,969,115,49,49,.277,.349,.428,.778,.350,108.9,27.33,
21,NC,20,32.64,1979,5833,5102,888,1483,258,28,187,2358,845,101,38,529,104,21,997,106,46,51,.291,.366,.462,.828,.370,113.9,32.64,
300,SK,20,10.19,1897,5502,4839,634,1212,177,17,143,1852,595,81,45,511,69,18,981,112,49,34,.250,.329,.383,.711,.324,84.9,10.19,
30,두산,20,31.43,1894,5773,5043,816,1476,263,20,125,2154,776,88,37,552,67,20,796,132,38,73,.293,.365,.427,.792,.359,114.2,31.43,
185,롯데,20,20.55,1745,5669,4958,750,1366,252,6,131,2023,711,90,31,569,55,18,875,148,39,48,.276,.354,.408,.762,.347,99.5,20.55,
260,삼성,20,15.68,1865,5574,4923,699,1317,211,12,129,1939,658,132,49,486,62,10,990,117,50,53,.268,.338,.394,.732,.333,90.5,15.68,
80,키움,20,26.87,1767,5721,4945,759,1332,254,25,127,2017,713,113,26,608,73,16,1030,107,43,52,.269,.355,.408,.762,.347,104.9,26.87,
313,한화,20,4.87,1887,5483,4862,551,1189,195,12,79,1645,523,51,36,462,89,9,1163,119,45,25,.245,.320,.338,.658,.306,77.0,4.87,
209,MBC,82,19.33,952,3061,2686,419,757,124,12,65,1100,381,134,60,268,47,20,316,56,32,27,.282,.354,.410,.764,.346,109.5,19.33,
227,OB,82,17.97,930,3098,2745,399,778,137,23,57,1132,362,106,61,247,41,22,254,35,46,18,.283,.349,.412,.762,.343,107.6,17.97,
293,롯데,82,12.47,863,3062,2628,353,674,112,8,59,979,325,83,53,326,40,8,315,61,41,27,.256,.344,.373,.717,.329,98.7,12.47,
311,삼미,82,6.11,867,2954,2653,302,637,117,20,40,914,272,74,43,221,29,3,369,44,33,17,.240,.304,.345,.648,.298,79.0,6.11,
217,삼성,82,18.61,887,3043,2647,429,705,126,18,57,1038,374,147,42,307,30,2,349,50,36,18,.266,.347,.392,.739,.338,104.3,18.61,
267,해태,82,15.32,873,2990,2665,374,696,110,14,84,1086,332,155,52,235,41,12,296,59,28,21,.261,.328,.408,.736,.332,100.6,15.32,
230,MBC,83,17.73,1149,3715,3273,405,837,145,21,45,1159,367,128,67,281,60,8,368,58,70,30,.256,.323,.354,.677,.312,96.2,17.73,
243,OB,83,16.82,1156,3766,3330,418,863,142,26,50,1207,378,60,45,279,50,11,352,63,89,18,.259,.324,.362,.687,.314,97.8,16.82,
250,롯데,83,16.34,1238,3740,3308,370,807,133,18,78,1210,342,76,61,308,39,2,423,71,58,24,.244,.314,.366,.680,.313,97.0,16.34,
282,삼미,83,14.26,1046,3738,3317,345,814,113,14,62,1141,315,35,41,282,47,16,404,76,73,18,.245,.312,.344,.656,.302,89.4,14.26,
142,삼성,83,23.31,1249,3847,3383,448,889,143,14,90,1330,421,70,42,314,55,9,427,62,66,27,.263,.333,.393,.726,.332,110.3,23.31,
187,해태,83,20.47,1124,3734,3340,423,892,130,15,78,1286,388,131,91,294,40,16,382,75,37,23,.267,.332,.385,.717,.330,109.3,20.47,
263,MBC,84,15.50,1227,3754,3317,375,840,127,35,47,1178,341,99,68,314,40,14,446,62,47,35,.253,.322,.355,.677,.314,95.6,15.50,
232,OB,84,17.56,1310,3660,3181,382,816,133,18,53,1144,362,111,62,339,43,17,367,66,62,34,.257,.333,.360,.693,.320,100.3,17.56,
205,롯데,84,19.45,1208,3729,3267,405,840,139,20,71,1232,374,108,65,326,48,17,446,58,56,28,.257,.331,.377,.708,.326,104.6,19.45,
288,삼미,84,13.18,1103,3773,3319,334,788,134,14,58,1124,301,42,29,332,34,11,473,73,75,12,.237,.312,.339,.651,.302,87.5,13.18,
123,삼성,84,24.07,1262,3756,3298,435,889,147,18,78,1306,413,75,61,313,63,18,422,62,62,18,.270,.343,.396,.739,.339,113.9,24.07,
255,해태,84,16.06,1081,3728,3321,369,822,143,10,76,1213,343,87,52,313,33,8,496,87,39,21,.248,.317,.365,.682,.317,98.1,16.06,
306,MBC,85,9.16,1324,4069,3624,345,892,127,19,37,1168,317,129,73,324,39,16,452,65,54,27,.246,.313,.322,.635,.297,79.1,9.16,
184,OB,85,20.55,1575,4189,3667,473,954,146,27,67,1355,432,107,76,354,50,19,442,54,87,31,.260,.331,.370,.701,.322,97.4,20.55,
224,롯데,85,18.04,1334,4138,3598,426,920,168,19,77,1357,399,79,58,352,47,11,445,78,106,34,.256,.327,.377,.704,.321,97.0,18.04,
196,삼미/청보,85,19.89,1314,4165,3648,416,920,158,9,73,1315,376,70,48,378,44,4,457,95,71,22,.252,.328,.360,.688,.320,96.3,19.89,
38,삼성,85,29.97,1513,4250,3644,552,1005,181,22,97,1521,514,116,85,408,61,15,465,74,93,42,.276,.355,.417,.772,.351,117.9,29.97,
111,해태,85,24.80,1317,4186,3709,483,1009,160,13,99,1492,437,130,77,348,33,5,386,85,60,32,.272,.337,.402,.740,.340,110.3,24.80,
172,MBC,86,21.34,1384,4138,3644,434,964,152,29,37,1285,398,116,59,315,55,15,428,65,89,35,.265,.330,.353,.682,.318,103.0,21.34,
276,OB,86,14.86,1378,4044,3531,369,880,114,31,38,1170,350,78,69,336,39,13,394,71,104,29,.249,.319,.331,.650,.303,91.8,14.86,
277,롯데,86,14.79,1435,4089,3603,373,894,140,28,37,1201,332,89,51,342,24,16,357,81,100,19,.248,.316,.333,.649,.303,91.6,14.79,
275,빙그레,86,14.92,1409,4004,3453,333,815,122,23,46,1121,313,79,85,420,30,3,494,81,84,17,.236,.323,.325,.647,.307,94.7,14.92,
33,삼성,86,30.54,1527,4119,3617,475,997,177,22,74,1440,442,110,67,354,48,13,465,76,68,31,.276,.345,.398,.744,.346,123.2,30.54,
307,청보,86,8.87,1491,3926,3449,318,755,138,10,66,1111,322,47,52,327,42,10,518,86,86,22,.219,.293,.322,.615,.289,81.9,8.87,
120,해태,86,24.28,1271,4044,3582,474,929,136,18,99,1398,443,120,78,321,39,16,406,82,76,23,.259,.325,.390,.715,.332,113.0,24.28,
290,MBC,87,12.78,1384,4019,3566,388,919,117,38,36,1220,359,91,54,296,43,14,353,80,85,28,.258,.320,.342,.662,.310,86.6,12.78,
272,OB,87,15.05,1406,4010,3548,415,927,123,34,30,1208,391,72,49,342,24,7,369,88,70,25,.261,.328,.340,.669,.316,91.0,15.05,
188,롯데,87,20.38,1327,4155,3625,432,970,161,27,40,1305,400,99,50,390,34,20,330,102,86,20,.268,.343,.360,.703,.329,100.6,20.38,
215,빙그레,87,18.87,1353,4054,3547,410,972,144,22,48,1304,370,79,85,326,53,11,423,84,104,23,.274,.342,.368,.710,.330,101.6,18.87,
6,삼성,87,37.97,1321,4218,3731,583,1120,164,29,105,1657,548,101,51,380,40,15,448,88,26,40,.300,.368,.444,.812,.378,135.1,37.97,
280,청보,87,14.32,1496,4026,3499,401,848,152,14,54,1190,372,127,80,400,27,7,502,79,82,17,.242,.323,.340,.664,.313,89.5,14.32,
261,해태,87,15.61,1284,4085,3609,393,910,151,12,71,1298,368,90,44,335,44,19,379,96,68,26,.252,.321,.360,.681,.318,93.0,15.61,
278,MBC,88,14.69,1298,4101,3652,408,951,132,27,42,1263,373,118,61,321,34,16,384,72,70,23,.260,.324,.346,.670,.310,88.0,14.69,
281,OB,88,14.27,1448,4043,3583,418,923,145,25,44,1250,387,87,39,321,28,13,374,91,78,31,.258,.321,.349,.670,.308,87.0,14.27,
200,롯데,88,19.71,1366,4095,3578,482,967,142,18,68,1349,446,127,64,347,40,16,333,81,104,24,.270,.339,.377,.717,.327,99.7,19.71,
175,빙그레,88,21.05,1423,4103,3616,506,961,177,21,73,1399,465,83,51,332,52,7,464,78,70,32,.266,.334,.387,.721,.330,102.1,21.05,
95,삼성,88,26.25,1402,4192,3692,516,1028,148,21,85,1473,486,110,62,381,42,13,493,74,53,24,.278,.351,.399,.750,.345,112.4,26.25,
264,태평양,88,15.45,1360,3961,3481,387,908,156,21,58,1280,360,82,63,339,23,21,402,88,95,24,.261,.328,.368,.696,.317,93.3,15.45,
62,해태,88,27.85,1313,4060,3561,503,1009,134,14,112,1507,466,136,58,343,44,11,374,95,77,33,.283,.351,.423,.774,.351,116.5,27.85,
216,MBC,89,18.76,1569,4550,3912,490,985,139,36,42,1322,458,172,94,470,40,14,489,89,85,42,.252,.335,.338,.673,.319,93.9,18.76,
279,OB,89,14.67,1608,4482,3935,447,970,165,28,42,1317,416,135,73,389,42,16,559,65,82,32,.247,.319,.335,.653,.309,86.7,14.67,
265,롯데,89,15.39,1650,4612,3939,419,974,155,23,38,1289,383,100,74,519,29,19,520,89,98,27,.247,.337,.327,.664,.316,92.1,15.39,
24,빙그레,89,32.40,1727,4633,4064,595,1121,208,26,97,1672,549,122,60,412,48,23,544,74,64,45,.276,.346,.411,.757,.352,116.2,32.40,
53,삼성,89,28.76,1554,4571,4024,580,1095,174,20,96,1597,540,160,76,397,45,11,616,78,56,47,.272,.341,.397,.737,.345,111.8,28.76,
197,태평양,89,19.89,1700,4469,3817,477,943,178,25,48,1315,428,167,80,482,39,25,545,74,98,33,.247,.335,.345,.679,.320,94.5,19.89,
148,해태,89,22.88,1492,4564,3963,500,1011,142,9,90,1441,472,111,74,470,48,26,508,111,57,26,.255,.339,.364,.703,.333,103.4,22.88,
96,LG,90,26.24,1607,4661,4024,578,1089,156,40,61,1508,528,140,101,465,65,24,450,82,56,50,.271,.352,.375,.726,.341,106.7,26.24,
308,OB,90,8.39,1574,4471,3902,404,901,153,22,62,1284,380,83,66,425,38,17,562,77,66,40,.231,.310,.329,.639,.301,79.2,8.39,
271,롯데,90,15.11,1523,4522,3858,453,946,163,30,41,1292,417,125,64,464,48,12,501,91,119,31,.245,.331,.335,.666,.313,87.5,15.11,
20,빙그레,90,32.77,1655,4625,3971,610,1074,174,24,112,1632,560,138,66,495,47,18,617,83,70,42,.270,.355,.411,.766,.355,115.7,32.77,
71,삼성,90,27.23,1453,4551,3961,593,1040,170,13,131,1629,555,108,54,434,52,12,532,91,68,31,.263,.341,.411,.752,.348,110.9,27.23,
241,태평양,90,16.85,1632,4494,3898,485,961,176,25,47,1328,444,133,84,443,43,16,534,93,84,24,.247,.328,.341,.669,.315,88.8,16.85,
72,해태,90,27.23,1396,4595,3952,538,1066,177,23,87,1550,501,101,66,466,53,28,544,100,95,29,.270,.352,.392,.744,.345,109.2,27.23,
295,LG,91,11.64,1701,4680,4131,472,1009,158,41,53,1408,430,110,99,400,52,18,475,118,67,29,.244,.317,.341,.658,.306,83.6,11.64,
274,OB,91,14.99,1649,4791,4220,501,1054,169,39,59,1478,458,136,78,418,40,23,648,84,91,22,.250,.322,.350,.672,.310,86.7,14.99,
166,롯데,91,21.59,1750,4821,4128,583,1072,177,46,73,1560,533,97,57,457,61,30,515,78,122,47,.260,.339,.378,.717,.325,97.5,21.59,
10,빙그레,91,35.10,1723,4870,4221,644,1155,181,43,136,1830,607,121,63,485,51,22,704,92,84,29,.274,.353,.434,.787,.356,118.7,35.10,
44,삼성,91,29.69,1706,4875,4182,639,1138,180,25,108,1692,593,126,82,510,59,28,546,106,85,37,.272,.357,.405,.761,.348,112.5,29.69,
113,쌍방울,91,24.67,1552,4734,4114,554,1041,198,30,87,1560,505,130,87,475,66,12,726,93,46,33,.253,.338,.379,.717,.333,102.4,24.67,
292,태평양,91,12.58,1598,4680,4102,426,976,208,25,51,1387,395,143,73,423,43,25,598,80,85,27,.238,.314,.338,.652,.301,81.0,12.58,
27,해태,91,31.76,1450,4843,4135,618,1069,171,29,144,1730,594,152,77,516,83,12,588,102,74,35,.259,.350,.418,.768,.351,114.9,31.76,
236,LG,92,17.37,1592,4841,4261,572,1094,172,24,108,1638,539,89,55,439,46,21,570,111,64,31,.257,.331,.384,.715,.325,91.7,17.37,
225,OB,92,18.03,1673,4833,4225,547,1096,172,31,110,1660,511,96,58,439,37,19,645,98,96,32,.259,.332,.393,.725,.326,92.4,18.03,
34,롯데,92,30.33,1616,4904,4205,663,1213,211,62,68,1752,619,130,55,483,59,14,542,90,103,53,.288,.366,.417,.782,.352,110.0,30.33,
45,빙그레,92,29.36,1662,4865,4197,658,1120,191,29,146,1807,620,104,59,511,58,29,660,96,54,45,.267,.351,.431,.782,.351,109.5,29.36,
88,삼성,92,26.53,1719,4921,4250,633,1128,169,23,124,1715,585,127,61,494,73,21,620,95,58,44,.265,.349,.404,.752,.342,103.2,26.53,
231,쌍방울,92,17.73,1604,4766,4081,508,1015,167,29,90,1510,459,89,53,528,54,24,748,138,77,21,.249,.341,.370,.711,.325,92.3,17.73,
247,태평양,92,16.47,1587,4745,4143,518,1061,204,25,87,1576,464,72,49,406,48,11,620,94,117,21,.256,.328,.380,.709,.319,87.9,16.47,
23,해태,92,32.47,1525,4903,4183,701,1139,191,16,138,1776,658,134,57,559,70,14,656,114,54,37,.272,.365,.425,.789,.359,114.5,32.47,
104,LG,93,25.55,1645,4730,4182,496,1069,176,32,74,1531,463,117,62,376,55,17,594,95,91,26,.256,.323,.366,.689,.320,106.0,25.55,
128,OB,93,23.87,1672,4740,4131,473,1066,176,34,59,1487,442,86,49,403,48,16,611,104,118,39,.258,.328,.360,.688,.318,104.5,23.87,
210,롯데,93,19.11,1604,4675,4077,452,1013,160,38,29,1336,422,174,79,389,53,10,563,75,114,41,.248,.319,.328,.647,.301,92.5,19.11,
171,빙그레,93,21.34,1671,4715,4119,454,982,180,13,81,1431,427,96,50,433,54,16,743,94,73,35,.238,.317,.347,.664,.311,99.2,21.34,
2,삼성,93,38.88,1667,4999,4369,613,1169,169,22,133,1781,592,102,73,465,66,13,662,105,53,38,.268,.344,.408,.752,.349,127.0,38.88,
301,쌍방울,93,10.15,1541,4546,4005,366,903,138,14,46,1207,342,117,80,392,53,12,733,88,74,21,.225,.302,.301,.603,.286,81.0,10.15,
299,태평양,93,10.57,1435,4532,4025,342,913,169,15,35,1217,314,80,50,343,39,17,776,100,104,21,.227,.293,.302,.595,.278,75.3,10.57,
37,해태,93,30.00,1496,4711,4102,513,1030,169,12,95,1508,465,161,73,452,48,6,606,107,71,31,.251,.330,.368,.698,.326,110.3,30.00,
3,LG,94,38.57,1541,4886,4265,655,1204,205,36,88,1745,612,143,61,455,70,18,573,83,54,41,.282,.358,.409,.767,.352,123.6,38.57,
257,OB,94,15.99,1610,4656,4113,477,1013,159,18,75,1433,459,81,54,364,53,15,712,76,93,33,.246,.313,.348,.662,.304,89.0,15.99,
183,롯데,94,20.55,1498,4710,4175,489,1072,180,33,58,1492,457,175,88,378,52,19,672,80,57,48,.257,.323,.357,.680,.313,96.3,20.55,
74,삼성,94,27.19,1678,4801,4161,541,1081,165,22,106,1608,510,120,67,458,64,21,650,95,79,39,.260,.340,.386,.726,.332,108.9,27.19,
228,쌍방울,94,17.92,1718,4690,4142,494,1027,160,20,87,1488,455,151,68,378,45,19,622,86,100,23,.248,.316,.359,.675,.308,92.5,17.92,
220,태평양,94,18.49,1560,4636,4047,485,988,179,18,91,1476,453,66,64,385,53,16,750,86,126,25,.244,.316,.365,.681,.309,93.1,18.49,
248,한화,94,16.46,1673,4691,4063,482,1002,166,15,68,1402,444,94,66,416,63,19,696,97,113,36,.247,.324,.345,.669,.307,91.5,16.46,
86,해태,94,26.55,1460,4757,4254,563,1153,183,17,93,1649,534,164,59,332,44,20,583,75,87,37,.271,.328,.388,.715,.325,104.0,26.55,
99,LG,95,26.04,1627,4752,4137,527,1064,170,34,79,1539,472,121,50,421,76,20,621,90,73,45,.257,.334,.372,.706,.321,105.7,26.04,
42,OB,95,29.74,1580,4853,4342,629,1154,203,28,106,1731,585,121,57,357,52,16,741,99,62,40,.266,.326,.399,.725,.327,110.5,29.74,
69,롯데,95,27.29,1606,4830,4197,590,1071,158,51,65,1526,552,220,73,447,71,22,726,74,56,59,.255,.333,.364,.696,.318,103.4,27.29,
144,삼성,95,23.08,1808,4752,4188,558,1047,199,20,94,1568,516,100,44,384,92,21,723,77,55,32,.250,.324,.374,.699,.318,103.7,23.08,
182,쌍방울,95,20.57,1575,4708,4154,476,1054,165,21,83,1510,438,131,70,381,37,25,600,75,103,33,.254,.320,.364,.683,.308,96.5,20.57,
256,태평양,95,16.06,1578,4657,4119,467,965,170,20,82,1421,436,93,48,389,46,15,754,90,67,35,.234,.305,.345,.650,.297,88.7,16.06,
146,한화,95,22.98,1727,4755,4161,510,1037,205,25,96,1580,477,97,65,403,63,22,747,80,100,28,.249,.323,.380,.703,.316,102.3,22.98,
249,해태,95,16.45,1528,4638,4095,431,989,154,22,75,1412,397,130,43,341,77,20,675,94,86,35,.242,.309,.345,.654,.297,89.2,16.45,
157,LG,96,22.28,1639,4856,4203,506,1036,164,18,98,1530,499,95,57,441,94,31,612,84,92,26,.246,.330,.364,.694,.317,100.1,22.28,
283,OB,96,14.21,1444,4653,4163,446,1008,178,23,82,1478,410,78,53,327,59,26,721,98,75,29,.242,.305,.355,.660,.301,88.1,14.21,
39,롯데,96,29.94,1607,4812,4244,566,1161,214,38,72,1667,543,139,61,398,50,23,692,94,82,38,.274,.340,.393,.733,.333,110.8,29.94,
135,삼성,96,23.56,1725,4732,4136,510,1029,191,23,88,1530,478,135,78,423,76,19,807,77,56,37,.249,.327,.370,.697,.320,102.1,23.56,
125,쌍방울,96,23.97,1569,4805,4111,545,1085,192,33,58,1517,489,85,59,427,70,34,690,89,143,47,.264,.340,.369,.709,.319,101.2,23.97,
160,한화,96,21.99,1747,4747,4081,522,1000,203,23,90,1519,499,95,72,432,80,17,836,92,123,30,.245,.327,.372,.699,.317,99.9,21.99,
98,해태,96,26.12,1565,4803,4168,515,1022,191,18,92,1525,510,170,54,463,72,31,701,83,71,29,.245,.329,.366,.695,.319,101.0,26.12,
194,현대,96,20.09,1717,4729,4127,493,1001,171,21,106,1532,462,112,90,396,72,35,747,66,104,30,.243,.318,.371,.689,.311,96.0,20.09,
70,LG,97,27.28,1472,4821,4153,590,1109,220,29,83,1636,549,137,53,422,90,24,601,82,97,57,.267,.343,.394,.737,.330,104.2,27.28,
199,OB,97,19.84,1634,4767,4215,511,1070,159,21,84,1523,481,143,53,382,69,19,717,96,70,31,.254,.324,.361,.685,.311,91.1,19.84,
305,롯데,97,9.38,1623,4599,4066,434,962,176,20,75,1403,411,110,69,359,56,16,801,89,88,29,.237,.305,.345,.650,.294,80.0,9.38,
1,삼성,97,38.92,1511,4976,4305,722,1194,254,24,165,1991,669,137,80,456,90,43,804,67,88,32,.277,.356,.462,.819,.359,124.0,38.92,
64,쌍방울,97,27.61,1729,4781,4057,602,1090,201,30,110,1681,565,81,60,490,51,37,693,99,139,44,.269,.351,.414,.766,.337,109.1,27.61,
221,한화,97,18.23,1682,4690,4077,481,1032,180,18,102,1554,445,98,74,381,71,20,779,88,128,33,.253,.325,.381,.707,.314,93.6,18.23,
63,해태,97,27.63,1562,4825,4183,616,1081,208,9,133,1706,578,148,62,466,67,48,722,102,78,30,.258,.340,.408,.748,.333,106.3,27.63,
262,현대,97,15.53,1742,4680,4032,497,994,179,19,82,1457,459,112,78,424,72,33,720,92,122,28,.247,.327,.361,.688,.308,89.2,15.53,
73,LG,98,27.20,1522,4840,4243,609,1131,229,21,100,1702,567,99,47,417,68,17,699,94,77,35,.267,.339,.401,.740,.329,104.9,27.20,
207,OB,98,19.40,1480,4717,4223,520,1080,174,28,102,1616,479,123,50,338,56,17,713,87,65,34,.256,.317,.383,.700,.311,91.9,19.40,
206,롯데,98,19.44,1592,4781,4188,536,1070,200,33,86,1594,500,76,54,403,68,24,829,76,89,32,.255,.329,.381,.709,.315,94.9,19.44,
57,삼성,98,28.20,1542,4918,4263,620,1143,211,20,143,1823,576,117,61,446,80,48,822,103,90,38,.268,.346,.428,.773,.338,110.7,28.20,
149,쌍방울,98,22.82,1531,4773,4170,536,1089,176,31,101,1630,499,93,46,440,33,32,758,94,95,34,.261,.334,.391,.725,.320,98.3,22.82,
226,한화,98,18.01,1656,4693,4162,503,1042,201,10,123,1632,472,94,59,339,72,23,784,94,99,21,.250,.316,.392,.708,.312,92.9,18.01,
245,해태,98,16.74,1490,4678,4129,489,1067,188,8,94,1553,467,58,26,367,57,25,669,125,92,33,.258,.325,.376,.701,.311,92.4,16.74,
32,현대,98,30.89,1620,4779,4161,633,1123,216,21,142,1807,587,134,85,413,74,16,820,69,91,38,.270,.344,.434,.778,.341,113.2,30.89,
94,LG,99,26.26,1578,5180,4574,744,1287,218,40,145,2020,700,99,32,428,78,16,772,91,57,43,.281,.350,.442,.792,.345,100.4,26.26,
87,두산,99,26.54,1655,5229,4587,721,1305,218,31,141,2008,693,136,44,478,49,21,693,126,74,41,.285,.355,.438,.793,.346,100.8,26.54,
59,롯데,99,28.06,1708,5186,4498,753,1309,261,34,145,2073,709,98,68,465,72,16,815,93,99,52,.291,.363,.461,.824,.355,106.9,28.06,
77,삼성,99,26.99,1594,5254,4555,748,1244,202,14,207,2095,712,140,47,483,96,24,964,90,79,41,.273,.352,.460,.812,.350,103.3,26.99,
310,쌍방울,99,7.43,1639,5054,4462,523,1108,177,28,86,1599,496,126,51,418,64,8,908,68,76,33,.248,.320,.358,.678,.303,71.9,7.43,
47,한화,99,29.09,1713,5089,4479,731,1268,253,29,197,2170,687,128,70,432,77,14,847,107,59,42,.283,.353,.484,.838,.360,109.6,29.09,
49,해태,99,29.08,1591,5256,4549,765,1264,206,12,210,2124,723,98,48,555,58,13,871,105,68,26,.278,.362,.467,.829,.359,109.4,29.08,
186,현대,99,20.52,1639,5260,4456,699,1210,187,18,143,1862,652,109,65,537,98,22,780,88,127,42,.272,.359,.418,.777,.339,96.2,20.52,
